Year,Month,week_number,average_ticket_price,seats_in_theatre,performance,weekly_gross,holiday_week,Tony_Award
2000,January,3,210.69306585493683,959.5591631501601,11.743089234077635,930054.7990330531,0,0
2020,December,49,5,1086.9637312946368,6.940595242131488,936759.015471001,0,0
2002.857142857143,September,36,193.38586466985475,1420.7099528493966,2.9146526883643906,1572051.0183737383,1,0
2011.4285714285713,December,48,280.7151538934802,727.285464961358,8.001672664335038,1127148.8165179177,1,0
2000,July,29,212.49738741244772,1940.082173701503,7.1281946520958535,1028767.5731445751,0,0
2011.4285714285713,January,1,160.31844285579584,2000,5.906412628069598,1499708.0652062015,1,0
2017.142857142857,August,32,155.55864626247956,613.3608285021055,11.914845183370108,1915738.8416296756,0,0
2011.4285714285713,May,19,244.96653909767446,1524.056098689903,4.5871750586237265,1198283.474161785,0,0
2002.857142857143,November,47,297.65062614899136,574.820816617055,13.727573679374398,2374451.3370446856,1,0
2008.5714285714287,December,50,214.83846245272318,1588.1739180902246,1.2921969847982009,1714911.0266753298,0,0
2005.7142857142858,May,19,364.54219342703675,959.7254567534119,19.391755060893715,2201816.1305943145,0,0
2005.7142857142858,March,9,443.0471595462109,971.5660415997519,11.1751041137923,1575100.4333560637,0,0
2000,September,35,112.9642519599604,1974.307071986219,10.20303844192947,1494399.8365919436,0,0
2005.7142857142858,January,2,311.9365636575232,1324.1118998870215,15.000991337893481,1858783.3709434033,0,0
2017.142857142857,October,43,291.97675940354225,1187.5246300726542,14.19386008340016,1677454.0106049327,0,0
2005.7142857142858,April,14,400.29604578586145,953.9110744627642,17.1813723895598,2092959.244951727,0,0
2017.142857142857,September,37,425.4482278890616,2000,3.992116611608349,1526218.3516924041,0,0
2005.7142857142858,April,17,259.72325908614357,1084.6983256413673,7.011462947633277,1136746.6925967094,0,0
2002.857142857143,December,52,345.7375193057487,1472.4862166591558,4.362807209997696,2345950.7571389903,1,0
2011.4285714285713,June,25,221.0737817892173,1067.6866167293556,11.120262826722751,1607956.5527337503,0,1
2002.857142857143,February,5,301.5974568196914,2000,10.972001996557438,2019599.0647421305,0,0
2008.5714285714287,November,47,98.06441286296592,617.9709141150691,6.618030888189434,1686417.014332859,1,0
2011.4285714285713,May,20,147.7719723002931,1925.3656332708815,10.711838346141583,2211313.8031607815,0,0
2008.5714285714287,February,6,361.64031151592974,1436.130096667462,11.988210276654659,1190212.8131883834,0,0
2020,January,1,323.78361024990414,1576.8297270649764,11.193058192669099,1652688.9446015935,1,0
2020,June,25,167.76832513059563,981.6014847644286,11.431861109313198,1110489.1595822503,0,0
2002.857142857143,February,6,215.44822437825917,1103.6799473809153,1,1812564.8689792491,0,0
2011.4285714285713,April,16,301.8263588233837,1759.3957880851626,7.196394331969177,1490064.8653777651,0,0
2002.857142857143,February,5,101.55255010118807,92.67818826760708,12.304268932862236,2775152.9216922903,0,0
2000,July,30,250.60090384423532,1074.2548426759236,8.99411784095,2341160.845709402,0,0
2000,November,46,317.9723873411116,1176.5224958222013,18.42021326628671,1613827.634324525,0,0
2008.5714285714287,January,1,177.9355098372515,1005.9255045300717,6.477445929847429,2448180.6766574597,1,0
2017.142857142857,November,47,168.70230337048713,1216.0900879363198,10.686764211259407,1747262.6726649872,1,0
2014.2857142857142,January,2,325.30138714966927,1051.3851406791507,12.44951749273431,1825916.5640921432,0,0
2011.4285714285713,February,6,161.209407963717,194.46682395981406,1,1610130.7791256818,0,0
2005.7142857142858,August,34,255.88391736897094,1048.0560409358682,20,1533574.3737511376,0,0
