week_ending,week_number,weekly_gross,avg_ticket_price,seats_in_theatre,performances,year,month,holiday_week,Tony_Award
2011-10-16,20,765926,78.11,1797,8,2011,October,0,0
2011-10-30,22,355261,88,583,8,2011,October,0,0
2017-05-14,51,390243.3,76.76,1052,8,2017,May,0,0
2016-03-20,43,773089,105.76,1047,8,2016,March,0,0
2018-09-30,18,781108,107.53,1026,8,2018,September,0,0
2012-02-26,39,1468595,167.8,1066,8,2012,February,0,0
2011-05-01,49,1035336,84.56,1797,8,2011,May,0,0
2016-08-07,11,663018.5,71.47,1707,8,2016,August,0,0
2012-05-27,52,571667,69.77,1470,8,2012,May,0,0
2019-05-19,51,1311985.7,113.38,1602,8,2019,May,0,0
2019-05-26,52,263248.22,51.8,770,8,2019,May,0,0
2019-04-07,45,736671,104.58,1069,8,2019,April,0,0
2018-03-18,43,1442786.5,104.85,1727,8,2018,March,0,0
2013-06-23,4,236292,59.47,1113,8,2013,June,1,1
2014-11-16,25,723882,127.11,696,1,2014,November,0,0
2016-12-11,29,936060.9,101.91,1626,8,2016,December,0,0
2011-12-25,30,2107015,146.65,1809,8,2011,December,0,0
2013-10-06,19,768298,85.42,1498,8,2013,October,0,0
2019-04-28,48,477447.8,81.28,740,8,2019,April,0,0
2016-06-19,4,393373,72.79,1018,8,2016,June,1,1
2018-11-04,23,358878.8,71.63,696,8,2018,November,0,0
2016-07-03,6,535415.2,119.38,576,8,2016,July,0,0
2017-04-02,45,762709.5,85.83,1375,8,2017,April,0,0
2019-06-16,3,1162867.5,92.39,1684,8,2019,June,0,1
2012-01-29,35,471977,63.01,1755,8,2012,January,0,0
2014-06-22,4,635836,90.09,990,8,2014,June,1,1
2011-11-13,24,741392,98.83,1065,8,2011,November,0,0
2016-10-30,23,614642.01,90.31,1051,8,2016,October,0,0
2019-08-18,12,1598241,123.22,1807,8,2019,August,0,0
2017-01-22,35,903287.95,78.36,1896,8,2017,January,0,0
2018-09-30,18,665020,97.54,1470,8,2018,September,0,0
2012-02-26,39,434901,96.15,583,8,2012,February,0,0
2011-02-27,40,443997,73.72,1214,8,2011,February,0,0
2010-05-23,52,1312216,109.79,1519,8,2010,May,0,0
2019-10-20,21,989080.44,88.32,1605,8,2019,October,0,0
2013-04-07,45,702715,93.15,1080,8,2013,April,0,0
2016-08-14,12,652282.59,75.57,1707,8,2016,August,0,0
2017-08-06,11,232352,53.82,775,8,2017,August,0,0
2017-07-23,9,713693,105.16,1026,8,2017,July,0,0
2015-07-26,9,1133454,98.89,1432,8,2015,July,0,0
2017-01-22,35,805485.8,85.53,1523,8,2017,January,0,0
2016-06-12,3,2028207.5,188.6,1321,8,2016,June,0,1
2019-10-13,20,2244415.34,192.24,1435,8,2019,October,0,0
2010-10-10,20,949532,86.09,1498,8,2010,October,0,0
2015-01-25,35,843445,89.17,1349,8,2015,January,0,0
2012-03-04,40,442658,71.29,1689,8,2012,March,0,0
2018-10-28,22,1504727.47,188.92,984,8,2018,October,0,0
2012-04-29,48,611178,84.24,1080,8,2012,April,0,0
2015-09-20,17,1007837,126.49,1047,8,2015,September,0,0
2012-11-11,24,1506571,123.04,1677,8,2012,November,0,0
2019-05-19,51,566640,97.26,1019,8,2019,May,0,0
2015-12-20,30,844200,101.28,1424,8,2015,December,0,0
2010-03-07,41,482026,81.27,1412,8,2010,March,0,0
2016-09-25,18,606097,94.17,1228,8,2016,September,0,0
2015-11-08,24,392201,83.32,740,8,2015,November,0,0
2017-08-13,12,1324586.5,155.18,1046,8,2017,August,0,0
2014-07-06,6,492009,73.63,1630,8,2014,July,0,0
2016-04-10,46,1494138.5,110.62,1727,8,2016,April,0,0
2011-02-20,39,1534779,121.46,1677,8,2011,February,0,0
2013-01-13,33,419474,99.42,583,8,2013,January,0,0
2019-01-20,34,1047034.84,123.12,1046,8,2019,January,0,0
2012-10-28,22,959737,104.88,1228,8,2012,October,0,0
2012-12-09,28,994479,103.02,1424,8,2012,December,0,0
2012-02-05,36,905134,89.44,1335,8,2012,February,0,0
2018-09-16,16,232461.25,67.89,963,8,2018,September,0,0
2010-03-28,44,509804,74.52,1030,8,2010,March,0,0
